iter	Passed	Remaining
0	163	163252
1	177	88653
2	192	63820
3	202	50332
4	213	42566
5	221	36731
6	228	32461
7	237	29497
8	246	27176
9	255	25324
10	266	23951
11	275	22692
12	283	21487
13	288	20340
14	294	19345
15	300	18473
16	306	17709
17	312	17024
18	318	16447
19	323	15857
20	329	15364
21	335	14919
22	341	14512
23	347	14145
24	353	13796
25	359	13455
26	364	13122
27	370	12861
28	376	12616
29	383	12392
30	389	12169
31	395	11973
32	404	11862
33	418	11878
34	428	11804
35	437	11703
36	444	11571
37	453	11486
38	462	11395
39	469	11277
40	480	11240
41	492	11241
42	503	11206
43	512	11133
44	521	11066
45	530	11005
46	543	11022
47	553	10972
48	571	11092
49	586	11147
50	602	11205
51	616	11238
52	627	11206
53	637	11160
54	654	11238
55	669	11289
56	681	11278
57	694	11281
58	707	11291
59	717	11237
60	728	11219
61	741	11219
62	754	11228
63	767	11231
64	789	11363
65	806	11418
66	818	11391
67	830	11385
68	838	11316
69	847	11253
70	854	11184
71	863	11132
72	872	11073
73	880	11017
74	890	10985
75	899	10937
76	909	10900
77	918	10857
78	928	10828
79	936	10769
80	950	10782
81	965	10804
82	977	10796
83	989	10792
84	1004	10816
85	1017	10818
86	1029	10808
87	1045	10832
88	1056	10809
89	1066	10784
90	1084	10829
91	1093	10795
92	1105	10783
93	1114	10742
94	1125	10717
95	1134	10686
96	1151	10724
97	1162	10703
98	1174	10692
99	1186	10679
100	1201	10691
101	1211	10665
102	1222	10645
103	1234	10633
104	1243	10598
105	1252	10565
106	1263	10542
107	1284	10610
108	1300	10629
109	1373	11109
110	1427	11433
111	1445	11464
112	1469	11536
113	1497	11638
114	1525	11736
115	1550	11818
116	1599	12074
117	1616	12081
118	1634	12100
119	1662	12192
120	1676	12179
121	1689	12156
122	1718	12253
123	1761	12442
124	1799	12594
125	1817	12604
126	1830	12581
127	1846	12578
128	1856	12536
129	1866	12489
130	1874	12433
131	1883	12383
132	1892	12339
133	1901	12287
134	1909	12235
135	1918	12188
136	1928	12149
137	1937	12100
138	1946	12055
139	1955	12009
140	1963	11961
141	1971	11915
142	1981	11875
143	1991	11840
144	2003	11816
145	2016	11792
146	2026	11760
147	2037	11727
148	2048	11697
149	2058	11665
150	2070	11642
151	2084	11627
152	2097	11610
153	2107	11579
154	2118	11546
155	2126	11504
156	2134	11459
157	2142	11416
158	2150	11376
159	2158	11332
160	2166	11291
161	2175	11253
162	2184	11216
163	2192	11176
164	2201	11143
165	2210	11105
166	2219	11069
167	2227	11030
168	2235	10992
169	2243	10951
170	2250	10912
171	2258	10874
172	2267	10839
173	2275	10800
174	2283	10763
175	2291	10728
176	2299	10693
177	2308	10660
178	2315	10621
179	2323	10585
180	2331	10547
181	2339	10514
182	2348	10482
183	2356	10448
184	2364	10415
185	2371	10379
186	2379	10345
187	2387	10312
188	2395	10277
189	2403	10247
190	2412	10219
191	2421	10189
192	2429	10160
193	2439	10133
194	2446	10098
195	2454	10067
196	2462	10035
197	2470	10008
198	2478	9975
199	2485	9942
200	2493	9910
201	2505	9897
202	2514	9871
203	2522	9842
204	2532	9819
205	2540	9793
206	2549	9765
207	2558	9740
208	2566	9714
209	2575	9688
210	2584	9663
211	2593	9640
212	2602	9616
213	2611	9589
214	2619	9563
215	2627	9538
216	2636	9512
217	2645	9488
218	2655	9469
219	2665	9449
220	2673	9425
221	2683	9404
222	2691	9379
223	2700	9356
224	2710	9336
225	2719	9312
226	2729	9293
227	2738	9272
228	2748	9253
229	2757	9233
230	2767	9211
231	2776	9190
232	2786	9171
233	2799	9165
234	2814	9162
235	2826	9149
236	2837	9133
237	2848	9119
238	2861	9109
239	2873	9098
240	2884	9082
241	2903	9093
242	2913	9077
243	2924	9060
244	2934	9042
245	2944	9024
246	2952	9002
247	2962	8983
248	2971	8962
249	2980	8942
250	2989	8921
251	2998	8900
252	3006	8877
253	3016	8860
254	3024	8836
